ruido_db,comuna,leyenda,rango_db,color,periodo
55,1,55-60 dBA,55-60,230 152 0,Diurno
60,1,60-65 dBA,60-65,255 0 0,Diurno
65,1,65-70 dBA,65-70,115 0 0,Diurno
70,1,70-75 dBA,70-75,132 0 168,Diurno
75,1,75-80 dBA,75-80,0 38 255,Diurno
80,1,80 dBA o más,80-85,0 38 115,Diurno
85,1,80 dBA o más,85-90,0 38 115,Diurno
90,1,80 dBA o más,90-95,0 38 115,Diurno
30,2,35 dBA o menos,30-35,169 255 115,Diurno
35,2,35-40 dBA,35-40,76 230 0,Diurno
40,2,40-45 dBA,40-45,38 115 0,Diurno
45,2,45-50 dBA,45-50,255 255 0,Diurno
50,2,50-55 dBA,50-55,254 204 92,Diurno
55,2,55-60 dBA,55-60,230 152 0,Diurno
60,2,60-65 dBA,60-65,255 0 0,Diurno
65,2,65-70 dBA,65-70,115 0 0,Diurno
70,2,70-75 dBA,70-75,132 0 168,Diurno
75,2,75-80 dBA,75-80,0 38 255,Diurno
80,2,80 dBA o más,80-85,0 38 115,Diurno
55,3,55-60 dBA,55-60,230 152 0,Diurno
60,3,60-65 dBA,60-65,255 0 0,Diurno
65,3,65-70 dBA,65-70,115 0 0,Diurno
70,3,70-75 dBA,70-75,132 0 168,Diurno
75,3,75-80 dBA,75-80,0 38 255,Diurno
80,3,80 dBA o más,80-85,0 38 115,Diurno
85,3,80 dBA o más,85-90,0 38 115,Diurno
60,4,60-65 dBA,60-65,255 0 0,Diurno
65,4,65-70 dBA,65-70,115 0 0,Diurno
70,4,70-75 dBA,70-75,132 0 168,Diurno
75,4,75-80 dBA,75-80,0 38 255,Diurno
80,4,80 dBA o más,80-85,0 38 115,Diurno
85,4,80 dBA o más,85-90,0 38 115,Diurno
50,5,50-55 dBA,50-55,254 204 92,Diurno
55,5,55-60 dBA,55-60,230 152 0,Diurno
60,5,60-65 dBA,60-65,255 0 0,Diurno
65,5,65-70 dBA,65-70,115 0 0,Diurno
70,5,70-75 dBA,70-75,132 0 168,Diurno
75,5,75-80 dBA,75-80,0 38 255,Diurno
80,5,80 dBA o más,80-85,0 38 115,Diurno
50,6,50-55 dBA,50-55,254 204 92,Diurno
55,6,55-60 dBA,55-60,230 152 0,Diurno
60,6,60-65 dBA,60-65,255 0 0,Diurno
65,6,65-70 dBA,65-70,115 0 0,Diurno
70,6,70-75 dBA,70-75,132 0 168,Diurno
75,6,75-80 dBA,75-80,0 38 255,Diurno
80,6,80 dBA o más,80-85,0 38 115,Diurno
85,6,80 dBA o más,85-90,0 38 115,Diurno
30,7,35 dBA o menos,30-35,169 255 115,Diurno
35,7,35-40 dBA,35-40,76 230 0,Diurno
40,7,40-45 dBA,40-45,38 115 0,Diurno
45,7,45-50 dBA,45-50,255 255 0,Diurno
50,7,50-55 dBA,50-55,254 204 92,Diurno
55,7,55-60 dBA,55-60,230 152 0,Diurno
60,7,60-65 dBA,60-65,255 0 0,Diurno
65,7,65-70 dBA,65-70,115 0 0,Diurno
70,7,70-75 dBA,70-75,132 0 168,Diurno
75,7,75-80 dBA,75-80,0 38 255,Diurno
80,7,80 dBA o más,80-85,0 38 115,Diurno
85,7,80 dBA o más,85-90,0 38 115,Diurno
90,7,80 dBA o más,90-95,0 38 115,Diurno
50,8,50-55 dBA,50-55,254 204 92,Diurno
55,8,55-60 dBA,55-60,230 152 0,Diurno
60,8,60-65 dBA,60-65,255 0 0,Diurno
65,8,65-70 dBA,65-70,115 0 0,Diurno
70,8,70-75 dBA,70-75,132 0 168,Diurno
75,8,75-80 dBA,75-80,0 38 255,Diurno
80,8,80 dBA o más,80-85,0 38 115,Diurno
85,8,80 dBA o más,85-90,0 38 115,Diurno
90,8,80 dBA o más,90-95,0 38 115,Diurno
60,9,60-65 dBA,60-65,255 0 0,Diurno
65,9,65-70 dBA,65-70,115 0 0,Diurno
70,9,70-75 dBA,70-75,132 0 168,Diurno
75,9,75-80 dBA,75-80,0 38 255,Diurno
80,9,80 dBA o más,80-85,0 38 115,Diurno
85,9,80 dBA o más,85-90,0 38 115,Diurno
90,9,80 dBA o más,90-95,0 38 115,Diurno
55,10,55-60 dBA,55-60,230 152 0,Diurno
60,10,60-65 dBA,60-65,255 0 0,Diurno
65,10,65-70 dBA,65-70,115 0 0,Diurno
70,10,70-75 dBA,70-75,132 0 168,Diurno
75,10,75-80 dBA,75-80,0 38 255,Diurno
80,10,80 dBA o más,80-85,0 38 115,Diurno
85,10,80 dBA o más,85-90,0 38 115,Diurno
90,10,80 dBA o más,90-95,0 38 115,Diurno
45,10,45-50 dBA,45-50,255 255 0,Diurno
50,10,50-55 dBA,50-55,254 204 92,Diurno
55,10,55-60 dBA,55-60,230 152 0,Diurno
60,10,60-65 dBA,60-65,255 0 0,Diurno
65,10,65-70 dBA,65-70,115 0 0,Diurno
70,10,70-75 dBA,70-75,132 0 168,Diurno
75,10,75-80 dBA,75-80,0 38 255,Diurno
80,10,80 dBA o más,80-85,0 38 115,Diurno
85,10,80 dBA o más,85-90,0 38 115,Diurno
90,10,80 dBA o más,90-95,0 38 115,Diurno
100,10,100 dBA o más,100-105,0 38 115,Diurno
45,11,45-50 dBA,45-50,255 255 0,Diurno
50,11,50-55 dBA,50-55,254 204 92,Diurno
55,11,55-60 dBA,55-60,230 152 0,Diurno
60,11,60-65 dBA,60-65,255 0 0,Diurno
65,11,65-70 dBA,65-70,115 0 0,Diurno
70,11,70-75 dBA,70-75,132 0 168,Diurno
75,11,75-80 dBA,75-80,0 38 255,Diurno
80,11,80 dBA o más,80-85,0 38 115,Diurno
85,11,80 dBA o más,85-90,0 38 115,Diurno
90,11,80 dBA o más,90-95,0 38 115,Diurno
55,12,55-60 dBA,55-60,230 152 0,Diurno
60,12,60-65 dBA,60-65,255 0 0,Diurno
65,12,65-70 dBA,65-70,115 0 0,Diurno
70,12,70-75 dBA,70-75,132 0 168,Diurno
75,12,75-80 dBA,75-80,0 38 255,Diurno
80,12,80 dBA o más,80-85,0 38 115,Diurno
85,12,80 dBA o más,85-90,0 38 115,Diurno
65,13,65-70 dBA,65-70,115 0 0,Diurno
70,13,70-75 dBA,70-75,132 0 168,Diurno
75,13,75-80 dBA,75-80,0 38 255,Diurno
80,13,80 dBA o más,80-85,0 38 115,Diurno
85,13,80 dBA o más,85-90,0 38 115,Diurno
45,14,45-50 dBA,45-50,255 255 0,Diurno
50,14,50-55 dBA,50-55,254 204 92,Diurno
55,14,55-60 dBA,55-60,230 152 0,Diurno
60,14,60-65 dBA,60-65,255 0 0,Diurno
65,14,65-70 dBA,65-70,115 0 0,Diurno
70,14,70-75 dBA,70-75,132 0 168,Diurno
75,14,75-80 dBA,75-80,0 38 255,Diurno
80,14,80 dBA o más,80-85,0 38 115,Diurno
85,14,80 dBA o más,85-90,0 38 115,Diurno
55,9,55-60 dBA,55-60,230 152 0,Diurno
60,15,60-65 dBA,60-65,255 0 0,Diurno
65,15,65-70 dBA,65-70,115 0 0,Diurno
70,15,70-75 dBA,70-75,132 0 168,Diurno
75,15,75-80 dBA,75-80,0 38 255,Diurno
80,15,80 dBA o más,80-85,0 38 115,Diurno
85,15,80 dBA o más,85-90,0 38 115,Diurno
90,15,80 dBA o más,90-95,0 38 115,Diurno
